nev	azon	fizA	fizB	megA	megB
Budai Elemér	2017B24-34	0	0	0	0
Lakatos Melinda	2016N19-20	0	0	0	0
Kiss Hapci	2017D39-12	0	0	0	0
Lakatos Jenő	2010N31-31	11	8	4	7
Pesti Mónika	2011A24-15	12	7	6	0
Szűcs Zsuzsanna	2011A29-28	16	3	16	2
Szabó Mónika	2014C35-23	11	8	3	5
Mónosi Júlia	2012B24-19	0	0	0	0
Marosi Dóra	2017E24-27	6	8	6	5
Fehér Erika	2012C33-24	0	0	0	0
Lóránt Szófia	2012A13-32	11	8	4	6
Beke Miska	2016E34-32	19	0	11	0
Hegedűs Dorottya	2014N12-35	18	1	3	0
Asztalos Erika	2014A31-34	17	2	0	2
Beke Ferenc	2011C10-33	19	0	14	0
Fischer Zsuzsa	2017C20-30	13	6	13	4
Kalapos Éva	2015C31-35	0	0	0	0
Kerekes Frida	2010N26-21	0	0	0	0
Asztalos Zsófia	2015A38-35	19	0	7	0
Illés Erika	2014E36-33	0	0	0	0
Lóránt Ferenc	2012A16-23	0	0	0	0
Mónosi Jolán	2014F32-18	0	0	0	0
Pesti Hanna	2010N12-11	12	7	0	1
Fischer Erika	2016A27-19	0	0	0	0
Hegedűs Zsófia	2017D39-31	0	0	0	0
Csobánki Jolán	2011B16-21	19	0	15	0
Telkes András	2014B33-28	19	0	5	0
Szűcs Júlia	2015N29-23	0	0	0	0
Marosi Mónika	2017N31-12	0	0	0	0
Marosi Ferenc	2015N33-29	0	0	0	0
Gémes Zsófia	2016F19-20	12	7	1	1
Takács Zsuzsa	2010A14-22	0	0	0	0
Hajas Jolán	2017A17-22	19	0	12	0
Kovács Zoltán	2014E19-28	17	2	1	0
Mónosi Vidor	2017F26-30	17	2	17	0
Légrádi Jolán	2011N21-26	18	1	9	0
Budai Éva	2014N26-12	0	0	0	0
Lakatos Éva	2013C20-22	9	10	2	2
Somos Szilárd	2016A35-12	10	9	10	2
Lóránt Zoltán	2014E33-34	0	0	0	0
Gondos Jenő	2014A13-14	19	0	1	0
Takács Erika	2012F14-22	0	0	0	0
Hegedűs Miska	2017D17-25	0	0	0	0
Beke Anna	2016E35-19	12	7	1	6
Pesti Tamás	2017N25-23	19	0	2	0
Somos Jenő	2016E34-19	19	0	8	0
Mónosi Mónika	2017A15-28	19	0	2	0
Nógrádi Dorottya	2012B36-14	0	0	0	0
Menyhárt Tas	2017F23-14	13	6	10	1
Fischer Miska	2010D14-29	0	0	0	0
Tóth Tamás	2017E15-34	12	7	10	1
Kalapos Regő	2012F10-30	0	0	0	0
Kiss Krisztina	2014A38-31	0	0	0	0
Benedek Csaba	2016A11-10	0	0	0	0
Nagy Ferenc	2010N14-33	0	0	0	0
Kovács Júlia	2014A17-19	0	0	0	0
Menyhárt Annamária	2015A27-23	0	0	0	0
Csobánki Anna	2017C22-22	13	6	11	6
Visegrádi Hapci	2011B19-21	14	5	5	2
Szűcs Csaba	2013B20-19	19	0	2	0
Benedek Vidor	2015D21-19	0	0	0	0
Illés Ferenc	2017A38-13	19	0	19	0
Visegrádi Éva	2017D31-32	19	0	5	0
Hegyi Melinda	2015D26-18	13	6	6	4
Kovács Vidor	2014D28-23	12	7	3	3
Koós Miska	2015C23-15	0	0	0	0
Kovács Frida	2010B15-14	0	0	0	0
Mónosi Szundi	2010A10-29	19	0	7	0
Hajas Dóra	2015N40-27	0	0	0	0
Hegyi Álmos	2016D33-23	0	0	0	0
Kerekes Hapci	2017E17-13	16	3	0	2
Szűcs Anna	2017C32-10	19	0	14	0
Szűcs Szilárd	2017B32-20	8	11	1	1
Szűcs Júlia	2013A35-34	11	8	5	5
Orosz Judit	2014C30-24	0	0	0	0
Csobánki Zsófia	2011N26-27	18	1	1	0
Orosz Dóra	2011F22-16	19	0	5	0
Szabó Csaba	2016C10-10	0	0	0	0
Fischer Anita	2011D30-18	0	0	0	0
Somos Éva	2014N14-15	0	0	0	0
Hajas Miska	2010F16-13	8	11	5	1
Mónosi Tas	2010E25-24	0	0	0	0
Benedek Judit	2010A30-14	0	0	0	0
Szabó Anna	2015A36-16	0	0	0	0
Kovács András	2015E14-25	0	0	0	0
Lóránt Judit	2013F24-17	0	0	0	0
Csobánki Mónika	2010C30-25	0	0	0	0
Kalapos Zsolt	2010A10-21	0	0	0	0
Illés Frida	2017A35-16	18	1	1	0
Szabó Szundi	2015B38-33	19	0	3	0
Kovács András	2016E39-17	17	2	1	0
Mónosi Anita	2016F28-12	19	0	15	0
Szabó Jenő	2016E19-35	0	0	0	0
Kelemen Jolán	2012D30-28	12	7	11	6
Szabó Frida	2011F21-24	0	0	0	0
Lóránt Gergő	2017E13-12	19	0	13	0
Kalapos Zsófia	2011N10-29	0	0	0	0
Szűcs Richárd	2011C19-12	7	12	5	4
Szűcs Zsuzsanna	2011D19-14	0	0	0	0
Fischer Elemér	2011D16-18	0	0	0	0
Bajai Zoltán	2016B38-27	16	3	11	1
Hegedűs Éva	2013C35-22	9	0	7	0
Szűcs Lázár	2016F30-14	0	0	0	0
Baráth Júlia	2014A14-30	0	0	0	0
Marosi Tas	2012D29-32	0	0	0	0
Menyhárt Júlia	2011D30-27	19	0	10	0
Szabó Júlia	2010A23-14	13	6	6	4
Marosi Álmos	2017D40-12	0	0	0	0
Szűcs Frida	2016C15-33	19	0	2	0
Telkes Judit	2012D36-10	0	0	0	0
Pesti Zsuzsa	2010F38-18	0	0	0	0
Orosz Zoltán	2015A20-24	8	11	0	8
Szűcs Annamária	2015A21-14	14	5	4	1
Csobánki Judit	2013B12-25	0	0	0	0
Kovács Dóra	2011N14-35	0	0	0	0
Orosz Richárd	2014D29-27	0	0	0	0
Szabó Csaba	2011B17-33	0	0	0	0
Mónosi Zoltán	2013D32-12	17	2	11	2
Baráth Dorottya	2017F27-31	0	0	0	0
Fischer András	2014C10-19	19	0	13	0
Pesti Vidor	2015B13-23	16	3	14	2
Menyhárt Zsuzsa	2012C40-35	14	5	9	4
Hegyi Erika	2010E15-23	19	0	16	0
Benedek Dorottya	2016D26-20	0	0	0	0
Hegyi Edit	2016E37-27	11	8	11	8
Kelemen Éva	2013N11-20	0	0	0	0
Pesti Anita	2016E37-13	12	7	5	0
Menyhárt Zsuzsanna	2010E31-26	0	0	0	0
Kovács Hapci	2014A32-34	0	0	0	0
Kalapos Csaba	2016E15-11	0	0	0	0
Csobánki Annamária	2013A21-34	13	6	2	6
Szabó Csaba	2016D23-24	14	5	8	2
Hajas Tamás	2012E21-14	19	0	12	0
Mónosi Judit	2013D25-35	17	2	16	0
Lóránt Richárd	2010D28-33	19	0	19	0
Marosi Elemér	2013B39-20	0	0	0	0
Baráth Csaba	2016F16-25	0	0	0	0
Gondos Csaba	2011F21-33	19	0	3	0
Lóránt Szófia	2013E11-10	19	0	3	0
Légrádi Zsuzsanna	2010B22-28	9	10	5	8
Szűcs Anna	2015F13-13	0	0	0	0
Lóránt Jolán	2010B40-29	13	6	0	4
Tóth Szilárd	2010B39-28	13	6	3	2
Marosi Zoltán	2016C27-11	19	0	16	0
Asztalos Hanna	2015F17-33	0	0	0	0
Fehér Szilárd	2011N13-31	16	3	0	0
Csobánki Szilárd	2013F35-35	13	6	7	5
Illés Lázár	2015D21-35	0	0	0	0
Nagy Richárd	2016A28-11	14	5	5	0
Gondos Mónika	2010F39-32	11	8	4	8
Bajai Tamás	2010A14-23	0	0	0	0
Asztalos Richárd	2010C25-13	0	0	0	0
Pesti Anita	2014B15-12	19	0	6	0
Lakatos Hanna	2015N16-17	10	9	6	0
Tóth Erika	2012A29-19	0	0	0	0
Kerekes Júlia	2012F22-13	14	5	0	1
Fischer Elemér	2016F27-25	0	0	0	0
Szabó Annamária	2011N34-25	19	0	0	0
Mónosi Szilárd	2015D24-21	14	5	2	5
Beke Dóra	2015B11-32	0	0	0	0
Koós Annamária	2016A25-26	0	0	0	0
Benedek Frida	2010D38-21	0	0	0	0
Gémes Gergő	2011C36-11	0	0	0	0
Beke Dóra	2017C24-26	0	0	0	0
Csobánki Szilárd	2012N31-27	12	7	4	4
Asztalos Erika	2017B12-17	0	0	0	0
Beke Richárd	2010C33-32	0	0	0	0
Lakatos Elemér	2017F13-22	0	0	0	0
Hegedűs Elemér	2011E11-17	11	8	5	8
Budai Krisztina	2011B20-28	19	0	12	0
Fehér Regő	2014A22-28	19	0	19	0
Gondos Annamária	2016E29-29	19	0	10	0
Nagy Gergő	2017A13-33	0	0	0	0
Hegedűs Tamás	2015A39-16	0	0	0	0
Marosi Frida	2017N30-31	0	0	0	0
Pesti Dorottya	2014D24-24	0	0	0	0
Hajas Hapci	2011B24-28	16	3	1	0
Beke Szófia	2016A18-17	19	0	1	0
Takács Mónika	2013F31-21	11	8	11	3
Hegyi Tas	2012B35-28	0	19	0	16
Koós Vidor	2016C21-19	13	6	7	3
Somos Richárd	2017N10-27	0	0	0	0
Gondos Anita	2014B32-33	11	8	0	5
Takács Hanna	2017C21-24	0	0	0	0
Menyhárt Miska	2011N36-17	10	9	8	2
Gémes Hanna	2012D13-20	0	0	0	0
Kovács Edit	2010B13-33	19	0	14	0
Pesti Hapci	2015N19-33	10	9	5	0
Baráth Tas	2015A13-20	0	0	0	0
Kalapos Anita	2015B28-19	13	6	6	2
Fehér Miska	2016F35-11	19	0	13	0
Kalapos Anita	2016D10-28	18	1	16	1
Szabó Zsófia	2015F24-25	19	0	2	0
Benedek Frida	2015F23-12	14	5	14	3
Fehér Ferenc	2012C16-22	19	0	15	0
Nógrádi Júlia	2017C13-27	19	0	19	0
Mónosi Jolán	2017D11-23	11	8	6	3
Szabó Miska	2013B15-14	16	3	11	3
Telkes Júlia	2014F13-12	17	2	7	2
Kerekes Mónika	2015D30-32	0	0	0	0
Szűcs Mónika	2010N38-34	14	5	13	4
Szűcs Miska	2017D36-14	0	0	0	0
Szűcs Gergő	2014B21-27	11	8	4	7
Légrádi Judit	2017B28-29	13	6	12	0
Fischer Dóra	2017B24-15	12	7	0	0
Csobánki Anita	2010B21-33	0	0	0	0
Tóth Szófia	2017F20-22	19	0	3	0
Fischer Jolán	2016B15-21	19	0	7	0
Benedek Éva	2015A24-29	0	0	0	0
Hajas Annamária	2014D30-19	0	0	0	0
Kalapos Miska	2017E19-14	0	0	0	0
Kelemen Melinda	2016D31-13	0	0	0	0
Kerekes Jenő	2016E38-13	11	8	3	1
Szűcs Ferenc	2010A31-31	0	0	0	0
Kerekes Álmos	2011F26-13	19	0	11	0
Koós Emese	2016E34-23	0	0	0	0
Bajai Vidor	2016D36-28	19	0	8	0
Nagy Zoltán	2013E35-30	13	6	9	1
Koós Annamária	2014N23-35	19	0	1	0
Lóránt Melinda	2014C18-15	0	0	0	0
Koós Zsuzsanna	2013A13-25	0	0	0	0
Kiss Gergő	2013N39-30	19	0	6	0
Mónosi Hapci	2012B20-13	0	0	0	0
Hegyi Erika	2015D11-34	19	0	16	0
Szűcs Zsuzsanna	2016E18-12	16	3	16	0
Szűcs Tamás	2017N20-30	17	2	6	0
Illés Zsófia	2014N22-11	0	0	0	0
Gémes Erika	2010B40-31	19	0	7	0
Szűcs Lázár	2017D18-23	19	0	7	0
Szabó Elemér	2016D21-16	12	7	4	7
Menyhárt Zoltán	2011F22-15	0	0	0	0
Fehér Szófia	2014N39-13	19	0	5	0
Kelemen Gergő	2012E25-23	0	0	0	0
Kovács Zsolt	2013N24-10	0	0	0	0
Nagy Szilárd	2010C20-29	0	0	0	0
Illés Gergő	2015A36-21	0	0	0	0
Csobánki Álmos	2012D10-31	0	0	0	0
Tóth Dorottya	2013B13-24	0	0	0	0
Gondos Hanna	2013C27-17	0	0	0	0
Takács Lázár	2010A24-13	15	4	14	1
Mónosi Annamária	2016B17-33	13	6	8	1
Somos Dóra	2013F40-11	12	7	10	2
Szabó Annamária	2012C36-20	0	0	0	0
Légrádi Júlia	2015B22-31	8	11	5	4
Mónosi Anna	2016D11-31	18	1	3	0
Koós Lázár	2013C27-29	14	5	5	3
Marosi Miska	2016B36-18	19	0	13	0
Hajas Edit	2012N20-20	0	0	0	0
Orosz Éva	2016A36-33	19	0	4	0
Lóránt Júlia	2011E17-14	19	0	1	0
Szűcs Judit	2014E36-30	16	3	5	1
Asztalos Jenő	2015D32-27	0	0	0	0
Telkes Elemér	2012N33-33	12	7	4	2
Lakatos Lázár	2015C12-25	0	0	0	0
Csobánki Annamária	2015B28-14	0	0	0	0
Légrádi András	2017A11-19	0	0	0	0
Menyhárt Erika	2015A29-28	0	0	0	0
Koós Elemér	2013C29-19	17	2	13	1
Csobánki Dorottya	2012E21-13	0	0	0	0
Asztalos Erika	2012A35-35	9	10	5	0
Koós Zoltán	2012C36-28	12	7	12	6
Kiss Júlia	2015E36-14	0	0	0	0
Marosi Szilárd	2012A11-32	0	0	0	0
Hegyi Tamás	2010C23-28	0	0	0	0
Tóth Lázár	2010C35-35	13	6	11	1
Szűcs Zsolt	2015E31-22	6	0	5	0
Orosz Elemér	2010B15-35	0	0	0	0
Takács Annamária	2012E35-23	9	10	5	9
Beke Szundi	2016N26-28	0	0	0	0
Szűcs Erika	2010A37-30	0	0	0	0
Tóth Hanna	2015N20-18	0	0	0	0
Kalapos Hanna	2012C12-34	15	0	13	0
Szűcs Judit	2010E25-12	0	0	0	0
Légrádi Vidor	2010B12-28	13	6	11	6
Beke András	2016E17-17	0	0	0	0
Lóránt Miska	2011C28-20	0	0	0	0
Fischer Ferenc	2010D35-26	0	0	0	0
Lakatos Erika	2012N25-33	19	0	4	0
Gondos Miska	2015N22-27	19	0	11	0
Benedek Edit	2013D39-23	19	0	5	0
Szűcs Richárd	2010D36-31	0	0	0	0
Légrádi Dóra	2013A16-29	19	0	19	0
Takács Anna	2016F23-18	0	0	0	0
Hegedűs Dóra	2010D13-26	17	2	2	2
Légrádi Dóra	2013C35-15	19	0	6	0
Kovács Jenő	2017D39-32	0	0	0	0
Fischer Hapci	2017A40-22	19	0	5	0
Pesti Ferenc	2017N20-14	0	0	0	0
Orosz Dorottya	2015D30-15	0	0	0	0
Hegedűs Elemér	2013A36-12	0	0	0	0
Bajai Dorottya	2012F36-20	0	0	0	0
Bajai Judit	2016A37-13	0	0	0	0
Benedek Dorottya	2011A20-23	19	0	9	0
Fehér Tamás	2013F28-23	12	7	9	5
Visegrádi Dóra	2013C11-12	0	0	0	0
Hegedűs Mónika	2011A19-15	19	0	18	0
Koós Ferenc	2011B25-23	11	8	3	5
Bajai Dorottya	2013C36-15	0	0	0	0
Mónosi Zsófia	2010N25-14	19	0	0	0
Hegyi Frida	2012A37-32	0	0	0	0
Hegedűs Csaba	2010E20-15	19	0	10	0
Nógrádi Szófia	2012B16-15	0	0	0	0
Kiss Melinda	2012C17-35	0	0	0	0
Tóth Ferenc	2017N25-35	0	0	0	0
Asztalos Jolán	2010E32-35	19	0	7	0
Szűcs András	2012F29-32	0	0	0	0
Kerekes Judit	2016C31-15	0	0	0	0
Kiss Júlia	2011D26-18	0	0	0	0
Marosi Richárd	2014N23-12	19	0	11	0
Gémes Erika	2012B19-11	0	0	0	0
Szűcs Anita	2013F10-24	0	0	0	0
Koós Gergő	2012C29-17	0	0	0	0
Hegyi Ferenc	2015C34-31	17	0	13	0
Pesti Lázár	2010B12-14	13	6	12	3
Asztalos Ferenc	2013A12-14	16	0	15	0
Gémes Szilárd	2014A29-31	0	0	0	0
Fehér Annamária	2010N36-27	0	0	0	0
Fehér Gergő	2017B40-23	19	0	0	0
Orosz Richárd	2012N33-26	8	11	5	9
Hegedűs Csaba	2016B38-32	0	0	0	0
Kalapos Anita	2011A15-28	0	0	0	0
Fehér Judit	2012F28-13	14	5	6	1
Kalapos Emese	2013A32-16	12	7	0	1
Benedek Csaba	2010C27-31	19	0	10	0
Takács Anna	2011E37-15	0	0	0	0
Visegrádi Jenő	2011B25-24	19	0	0	0
Koós Zoltán	2014C15-16	19	0	7	0
Benedek Richárd	2013B30-30	18	1	9	0
Bajai Anna	2016D33-16	19	0	8	0
Somos Frida	2012B19-35	0	0	0	0
Szűcs Tas	2012N38-11	13	6	5	6
Szűcs Gergő	2010N37-33	0	0	0	0
Mónosi Jenő	2012F15-33	19	0	2	0
Kelemen Emese	2016C18-18	0	0	0	0
Bajai Júlia	2013F14-12	0	0	0	0
Hajas Edit	2014E31-28	0	0	0	0
Baráth Tas	2015E37-27	0	0	0	0
Pesti Zsófia	2012E14-19	0	0	0	0
Légrádi Hanna	2015N23-30	0	0	0	0
Marosi Szundi	2010N11-20	0	0	0	0
Budai Dorottya	2011A21-14	7	12	0	12
Kelemen Krisztina	2015A27-12	0	0	0	0
Csobánki Zsolt	2017E23-12	0	0	0	0
Beke Dóra	2015F40-11	0	0	0	0
Fehér Zoltán	2010D20-31	0	0	0	0
Fischer Zsuzsa	2015C27-15	18	1	6	1
Mónosi Dorottya	2015E20-26	12	7	11	0
Koós Gergő	2014C24-24	0	0	0	0
Gémes Szundi	2010A34-27	0	0	0	0
Nagy Gergő	2015A27-15	14	5	0	5
Budai Hanna	2012E14-10	18	1	8	1
Kelemen Judit	2017A11-34	7	12	6	12
Budai Anna	2014B25-18	9	10	1	1
Asztalos Csaba	2017E35-16	8	11	4	1
Kalapos Zsuzsanna	2017E12-32	19	0	10	0
Hegedűs Regő	2014B23-26	19	0	3	0
Lóránt Gergő	2016C10-15	19	0	10	0
Nagy Anna	2015C34-24	8	11	5	2
Koós Zsófia	2013N32-11	13	6	6	0
Kalapos Szófia	2016E37-32	12	7	1	1
Légrádi Krisztina	2014N38-26	0	0	0	0
Asztalos Melinda	2010E37-31	15	4	5	1
Gémes Zsolt	2014B35-14	0	0	0	0
Kovács Anita	2010C37-18	0	0	0	0
Magyar Éva	2017D16-21	0	0	0	0
Illés Emese	2011F20-24	0	0	0	0
Nógrádi Emese	2011D11-18	0	0	0	0
Marosi Krisztina	2014N19-19	0	0	0	0
Hajas Zsolt	2011D14-30	0	0	0	0
Lakatos Zsófia	2014D14-33	0	0	0	0
Kelemen Anita	2016F29-25	0	0	0	0
Menyhárt Mónika	2013B21-10	0	0	0	0
Kerekes Zsófia	2016C39-22	0	0	0	0
Baráth Gergő	2017F33-24	19	0	18	0
Takács Álmos	2017B26-27	11	8	11	1
Bajai Hanna	2017E15-28	14	5	10	5
Hegedűs Zoltán	2010F40-24	10	9	3	0
Csobánki Zsófia	2016F32-17	14	5	8	1
Kovács Mónika	2014D38-15	0	0	0	0
Bajai Jenő	2014N12-34	19	0	6	0
Lóránt Zsuzsa	2011A26-31	0	0	0	0
Szűcs Frida	2015D10-18	14	5	4	0
Szűcs Tamás	2011D35-15	19	0	14	0
Orosz Szilárd	2012N39-17	19	0	7	0
Takács Zoltán	2017F13-26	16	3	3	2
Tóth Miska	2016E39-31	19	0	2	0
Visegrádi Miska	2015N40-15	0	0	0	0
Illés Edit	2010B17-34	19	0	5	0
Hegedűs Zsolt	2012F29-20	0	0	0	0
Légrádi Richárd	2011C12-14	0	0	0	0
Szabó Emese	2011N11-32	16	3	2	3
Fehér Éva	2015C14-20	17	2	12	1
Pesti Elemér	2010E18-32	0	0	0	0
Telkes Krisztina	2010N22-15	19	0	0	0
Csobánki Lázár	2013D18-30	19	0	12	0
Csobánki Anita	2013F16-11	0	0	0	0
Telkes Csaba	2017E31-26	19	0	17	0
Szabó Tamás	2010A22-20	14	5	14	5
Illés Zsolt	2011C10-29	0	0	0	0
Illés Tamás	2011B15-29	19	0	9	0
Gémes Judit	2010D37-33	0	0	0	0
Szűcs Dóra	2010N30-23	0	0	0	0
Budai Zsolt	2015C33-29	0	0	0	0
Illés Tamás	2015B34-34	0	0	0	0
Menyhárt Szilárd	2010D36-28	19	0	12	0
Magyar Jolán	2015C30-30	19	0	5	0
Nógrádi Emese	2010A31-10	0	0	0	0
Kovács Miska	2010E21-14	15	4	12	4
Gondos Melinda	2013C23-18	0	0	0	0
Lakatos Krisztina	2017A16-27	18	1	11	1
Telkes Melinda	2014B10-11	7	10	2	9
Mónosi Szundi	2017N37-19	9	10	6	10
Kovács Dorottya	2010C15-21	19	0	19	0
Légrádi Dóra	2015B36-26	0	0	0	0
Nógrádi Melinda	2010B29-30	13	6	3	6
Orosz Krisztina	2011B35-22	14	5	4	5
Szűcs Zsuzsa	2012E14-29	8	11	8	8
Bajai Edit	2016N35-16	0	0	0	0
Nógrádi Zsuzsa	2013D21-26	0	0	0	0
Budai Judit	2012F27-27	0	0	0	0
Marosi Dóra	2012B24-29	16	3	2	2
Illés Vidor	2010B11-35	19	0	7	0
Nagy Mónika	2010D30-18	0	0	0	0
Bajai Dóra	2011D16-31	0	0	0	0
Fehér András	2011D36-33	0	0	0	0
Pesti Jolán	2010D33-34	19	0	18	0
Kerekes Emese	2013D15-13	19	0	10	0
Fischer András	2011F27-14	0	0	0	0
Pesti Szófia	2017N19-10	19	0	7	0
Kiss Szilárd	2013A35-33	19	0	5	0
Hajas Lázár	2010D30-28	0	0	0	0
Hegedűs Edit	2010A33-20	14	5	7	1
Menyhárt Zsuzsanna	2012N40-10	0	0	0	0
Mónosi Judit	2015B38-23	0	0	0	0
Tóth Edit	2011N37-18	0	0	0	0
Kelemen Zsófia	2017E31-18	11	8	5	3
Fehér Annamária	2016D15-19	0	0	0	0
Koós Elemér	2012B11-15	0	0	0	0
Budai Regő	2012C22-19	19	0	12	0
Takács Csaba	2016A35-19	0	0	0	0
Kalapos Regő	2011A14-33	15	4	11	1
Kalapos Zsolt	2016C38-16	19	0	5	0
Fischer Emese	2014C19-29	12	7	5	6
Hajas Lázár	2017C13-18	0	0	0	0
Koós Ferenc	2012A40-26	0	0	0	0
Fischer Tas	2014B14-22	17	2	4	2
Kiss Szundi	2010A26-15	0	0	0	0
Bajai Emese	2011B18-25	0	0	0	0
Kelemen Richárd	2010D20-23	0	0	0	0
Kelemen Vidor	2011B13-20	0	0	0	0
Somos Tamás	2011A39-16	17	2	13	2
Telkes Annamária	2013D18-12	0	0	0	0
Hajas Tas	2011B28-10	0	0	0	0
Budai Mónika	2014B36-26	0	0	0	0
Magyar András	2017B24-10	0	0	0	0
Marosi Annamária	2013N30-30	0	0	0	0
Szabó András	2012A32-10	10	9	7	3
Bajai Júlia	2016B40-24	0	0	0	0
Baráth Annamária	2014C29-30	9	0	8	0
Takács Tas	2013B30-25	11	8	11	6
Légrádi Vidor	2013E13-22	13	6	9	0
Lakatos Éva	2014F27-24	0	0	0	0
Kalapos Mónika	2016F27-12	0	0	0	0
Hajas Frida	2012C18-32	12	7	1	5
Kelemen Hapci	2010C22-19	15	4	12	3
Bajai Melinda	2016D23-29	0	0	0	0
Budai Júlia	2017E27-35	0	0	0	0
Marosi Dóra	2015E10-33	8	11	5	7
Marosi Krisztina	2011A28-30	0	0	0	0
Hegedűs Szilárd	2017A21-34	19	0	18	0
Hegedűs Zsófia	2013F14-28	0	0	0	0
Kiss Dóra	2017B37-18	14	5	0	3
Kovács Júlia	2013F15-23	0	0	0	0
Gémes Zoltán	2011D28-24	0	0	0	0
Kalapos Zsuzsa	2017A37-25	19	0	14	0
Hajas Zsuzsanna	2012F35-24	0	0	0	0
Hegedűs Ferenc	2015N14-28	19	0	16	0
Benedek Mónika	2012C17-14	0	0	0	0
Pesti Zsuzsa	2013C35-16	0	0	0	0
Szabó Zsófia	2016A26-10	0	0	0	0
Somos Tamás	2014B18-34	19	0	4	0
Szabó Jenő	2013C38-18	19	0	14	0
Nógrádi Regő	2011C36-16	0	19	0	7
Visegrádi Melinda	2011C29-11	12	7	3	6
Hajas Lázár	2016N13-16	0	0	0	0
Hegyi Erika	2015F31-35	0	0	0	0
Gondos Éva	2014B21-28	15	4	11	0
Baráth Emese	2015C12-30	0	0	0	0
Kalapos Anna	2012B25-24	11	8	0	6
Szűcs Zoltán	2014C30-32	0	0	0	0
Gémes Tamás	2013B33-22	0	0	0	0
Nógrádi Hanna	2016D36-26	13	6	10	5
Somos Zsuzsa	2010C32-13	0	0	0	0
Lakatos András	2016A23-12	0	0	0	0
Visegrádi Richárd	2013E19-21	0	0	0	0
Hajas Anita	2011F28-16	16	3	15	0
Illés Anita	2010D36-27	0	0	0	0
Telkes Dorottya	2017C14-29	0	0	0	0
Pesti Krisztina	2016N34-17	18	1	7	0
Kovács Frida	2012F28-22	19	0	15	0
Pesti Éva	2012D34-21	0	0	0	0
Lakatos András	2010C14-25	19	0	4	0
Csobánki Tamás	2015E29-31	0	0	0	0
Kiss Zsuzsanna	2013B36-21	0	0	0	0
Visegrádi Emese	2016D19-22	15	4	0	1
Kiss Éva	2012C12-10	0	0	0	0
Beke Szundi	2011N25-30	0	0	0	0
Bajai Zsófia	2010N23-12	11	8	8	4
Orosz Tamás	2014E19-26	0	0	0	0
Telkes Júlia	2012B34-21	15	4	2	2
Hegyi Éva	2011A25-16	5	14	1	7
Kalapos Emese	2014N27-28	14	5	6	4
Kerekes Zsófia	2016F30-32	13	6	1	1
Beke Anna	2011D28-17	0	0	0	0
Koós Miska	2012F40-22	0	0	0	0
Somos Szundi	2015N20-29	19	0	19	0
Lóránt Szilárd	2016F22-25	19	0	13	0
